r r r r b b
53 718 16.533333 19.1 0 0
50 678 15.358334 14.2 0 0
96 726 15.395833 15.9 1 0
1 501 17.279167 20.9 0 0
108 567 16.533333 20.9 1 0
151 527 16.241667 19.700001 1 0
201 560 16.375 24.5 1 0
282 569 15.891666 22.5 1 0
26 635 17.112499 21.200001 1 0
61 610 16.887501 21.5 1 0
292 657 15.895833 23.799999 1 0
142 574 16.679167 24.700001 1 0
354 907 14.516666 19.4 0 0
18 677 16.741667 19.9 0 0
279 859 15.783334 23.9 0 0
134 681 16.725 23.6 0 0
108 874 15.475 19.299999 0 0
452 1036 14.6125 24.1 1 0
157 526 16.799999 25.200001 1 0
142 523 16.8125 22.6 1 0
261 541 16.5625 25.700001 0 0
32 477 17.654167 21.9 0 0
251 595 16.366667 25.9 1 0
137 527 16.891666 26.200001 1 0
377 576 15.9375 29 0 0
307 558 16.308332 27.200001 1 0
244 774 16.433332 25.9 1 0
246 674 16.545834 25.6 0 0
299 631 16.283333 28 0 0
234 552 16.695833 29.1 1 0
333 880 15.670834 26.200001 1 0
316 670 15.8625 27.6 1 0
24 549 17.745832 22 0 0
23 556 17.775 21.5 0 0
424 611 16.133333 29 0 0
61 537 17.858334 25.6 0 0
395 556 16.0375 30.4 0 0
297 510 16.479166 30.1 1 0
385 508 15.554167 29.299999 1 0
112 981 14.245833 15.1 0 0
143 1099 14.1875 15.5 0 0
31 981 15.1375 17.6 1 0
229 1028 15.233334 24.200001 1 1
39 1216 14.441667 18.299999 1 0
6 1078 14.7875 17.5 1 0
333 1191 14 23.700001 1 1
636 1337 12.616667 23.299999 1 0
167 1419 14.258333 16.5 1 0
199 1370 13.745833 17.799999 1 1
313 1157 13.675 22.9 1 1
853 1439 11.045834 22.5 1 1
361 1261 12.941667 17.4 0 0
234 1303 13.7125 17 1 0
493 1257 12.383333 19.6 0 0
514 1289 12.5625 20.4 0 0
157 1049 13.533334 16.799999 0 0
1176 1513 10.104167 22.9 1 1
826 931 12.208333 25.9 1 0
521 1109 13.483334 26.299999 1 0
738 1233 12.3375 25 1 0
461 751 13.5375 27.4 1 1
569 810 13.204166 27 1 1
1139 1219 9.329166 24 0 1
569 994 12.670834 26 1 1
1335 1065 8.3 25.6 1 1
867 875 10.891666 27.1 1 1
533 1026 12.054167 21.5 0 1
567 996 12.116667 23.1 0 1
654 926 11.4125 23 1 1
861 893 10.683333 25.299999 1 1
234 981 13.1625 18.799999 0 0
116 855 13.716666 19.6 1 0
840 635 12.3875 28.4 0 0
745 538 12.004167 28.6 1 0
1135 716 9.5375 27.9 1 1
808 561 11.341666 28.5 1 0
1342 1021 7.883333 24.6 1 1
1112 769 9.508333 27 0 1
242 880 12.95 19.799999 0 1
82 1459 10.125 13.9 0 0
116 1281 8.795834 15.5 0 1
172 1466 9.604167 14.7 0 1
137 1483 9.904166 14.4 0 0
147 1316 9.691667 15.9 0 1
189 1396 9.5875 15.4 0 1
60 1161 9.804167 16.1 0 1
40 1171 10.133333 16 0 1
18 1220 9.858334 14.9 0 1
111 1246 8.929167 15.9 0 1
111 1198 9.233334 16.1 0 1
176 1452 8.2625 15.5 0 0
25 1271 9.0875 16 0 1
120 1246 8.541667 15.8 0 1
170 1344 8.279166 16.4 0 1
95 1431 8.679167 15 0 0
34 1161 9.083333 14.5 0 0
163 1100 9.525 16 0 0
78 1141 10.095834 15.3 0 0
