Cds	Conf	Time
1	231.9582	13916.7818
1	45.7831	14662.4485
1	1.8253	11297.5974
1	9.7825	12945.2905
1	0.68915	12769.4769
1	1.1992	12695.294
1	0.74853	12693.3829
-1	0.40166	10553.3163
1	3.2261	10000.8374
1	0.27336	10782.8379
1	7.0878	9860.7307
-1	13.6695	11701.3866
1	3.2011	13411.035
-1	0.75824	12393.2037
1	6.3634	12812.7919
1	13.4682	10398.4185
-1	5.0754	11870.2443
1	4.9776	15129.2111
1	0.1939	13566.115
1	75.2197	12242.3921
-1	9.2409	11504.5536
1	12.8939	9354.1995
1	87.1382	9527.9701
-1	11.8484	9226.0116
1	21.558	10584.1356
1	646.8158	13138.0296
1	5402.9447	13195.2179
-1	159.7742	9220.2394
1	33.4881	10342.3617
-1	0.56227	10340.0962
-1	2.1209	9039.3489
1	166.2564	12363.7458
1	1402.8112	12234.4974
1	444.6125	13529.857
1	640.5403	14145.6936
1	250.3705	12531.444
1	41.9938	14277.1818
1	719.4785	11521.8851
1	11.0758	14849.4432
1	704.212	11787.9737
1	51.3435	12568.236
1	31.5397	13092.1631
-1	0.96752	15572.1317
-1	1.0184	16547.0824
-1	0.80101	12120.6604
-1	1.4868	14131.6423
1	2473.5152	11553.1179
1	1.9921	8684.4741
1	18.7642	11483.775
1	1.2325	10139.0351
1	1.4254	10396.8978
-1	5.0808	11445.6089
-1	2.7682	11051.7526
-1	3.5885	11788.3574
-1	16.029	11645.6407
-1	3.6463	11198.8246
-1	0.90046	11305.7057
-1	1.5649	11525.1665
-1	3.733	11137.382
1	1.9771	13022.8604
-1	1.0471	8525.8806
-1	1.2837	8835.966
1	0.93475	8465.885
-1	1.4086	12050.2289
1	1.5636	10967.1962
-1	6.552	14927.5746
1	1988.5889	11103.8304
1	0.86828	14291.2795
1	6.3276	13439.0642
1	0.63245	16407.824
1	1.5739	9248.67
1	30.551	12009.0146
1	6.2102	12169.4935
-1	1.3495	11763.4819
1	98.0813	14724.7982
1	0.4615	8629.7728
1	1.2995	11297.5192
-1	15.1359	13327.8313
1	18.1795	12169.5129
1	327.4249	11368.6219
1	0.86741	10737.7515
-1	39767.8672	12899.3675
1	25.2406	12586.1862
1	0.98672	4905.0287
1	1.1407	4726.1128
1	16.0769	9652.8451
1	47.1351	10237.231
-1	1.2977	8641.0233
1	4.1116	12872.0681
1	195.3966	11235.9018
1	39.6716	12190.3916
-1	62.4317	9184.2713
-1	2.2079	4307.6093
1	0.74307	10872.755
1	4.1394	11224.0861
-1	0.14957	14698.7779
-1	1281.6419	5646.4784
-1	7.7537	4091.2164
1	583.8292	5458.4327
1	231.9582	5447.0
