Correct	Eps	Cds
1	0.614642	->
0	0.090012	<-
1	0.242678	->
0	0.00693	<-
1	0.038731	->
1	0.084809	->
1	0.057433	->
1	0.181625	->
1	0.059079	->
1	0.038206	->
1	0.154394	->
1	0.145108	->
1	0.012153	->
1	0.016889	->
1	0.3894	->
1	0.22853	->
1	0.368743	->
0	0.006973	<-
0	0.195813	<-
1	0.159175	->
0	0.440101	<-
1	0.354242	->
1	0.161947	->
1	0.112698	->
1	0.135988	->
0	0.185906	<-
0	0.230391	<-
0	0.097821	<-
0	0.403947	<-
1	0.021374	->
1	0.11521	->
0	0.326661	<-
0	0.154976	<-
0	0.400711	<-
0	0.343502	<-
0	0.235157	<-
0	0.372657	<-
0	0.026315	<-
0	0.331642	<-
1	0.103369	->
0	0.247926	<-
1	0.440504	->
0	0.007324	<-
0	0	--
0	0	--
0	0.009333	<-
1	0.168601	<-
1	0.163886	<-
0	0.141896	->
0	0.127981	->
0	0.004665	->
1	0.159579	<-
1	0.131761	<-
1	0.131721	<-
1	0.080313	<-
1	0.132775	<-
1	0.194579	<-
1	0.140308	<-
1	0.16279	<-
0	0.286935	<-
0	0	--
0	0	--
0	0	--
0	0.636343	->
1	0.043493	<-
1	0.736241	->
1	0.388362	->
1	0.630321	<-
1	0.296794	->
1	0.267142	<-
0	0.048688	<-
1	0.433216	<-
1	0.290484	->
1	0.244771	<-
1	0.133164	<-
1	0.301749	->
1	0.129559	->
1	0.171837	->
0	0.013622	->
1	0.995108	->
0	0.018471	<-
1	0.17054	->
0	1	<-
0	0.132084	->
0	0.10086	->
1	0.226447	->
1	0.275658	<-
1	0.022671	->
1	0.9704	->
1	0.973108	->
1	0.204994	->
0	0	--
0	0	--
1	0.125622	<-
1	0.195318	->
1	0.002848	->
1	0.087917	->
1	0.181992	->
1	0.070853	->
0	0.113773	->
