Correct	Eps	Cds
1	0.127182957588636	->
0	0.230320457499539	<-
1	0.012768284990218	->
0	0.00707681056621423	<-
1	0.160535350096919	->
0	0.00154544351403962	<-
1	0.155092716111389	->
1	0.0348682789535912	->
1	0.0303380556893957	->
1	0.0271438635281211	->
1	0.0509633267423939	->
1	0.150024551057128	->
0	0.066042989666987	<-
1	0.000584504254123042	->
0	0.0740067500232164	<-
1	0.154125935446225	->
0	0.078252252645356	<-
1	0.0796539987982869	->
0	0.0481603320607378	<-
1	0.000706173409172894	->
0	0.0635142473940911	<-
1	0.051844377800867	->
0	0.0162777037569242	<-
1	0.0421879690839662	->
0	0.182761574938764	<-
0	0.0810548367667954	<-
0	0.0690725651736712	<-
1	0.106380467250361	->
0	0.112065412577618	<-
1	0.296162480717179	->
1	0.24686201751642	->
1	0.234958844362088	->
1	0.0230641385991581	->
1	0.0340951652703827	->
0	0.0574271387564493	<-
1	0.134749944488261	->
1	0.394741053927297	->
0	0.0798595224045919	<-
1	0.0519477100266299	->
0	0.171106926200979	<-
0	0.0825034517961176	<-
1	0.255530309485762	->
0	0.00186343359410412	<-
0	0.0315127658262579	<-
0	0.012131559237331	<-
0	0.0226033122571896	<-
0	0.499442672607848	->
1	0.0512219739246971	<-
1	0.101957122098779	<-
0	0.0422935914864873	->
0	0.0627624443382271	->
1	0.181535041634445	<-
1	0.0480308530264417	<-
1	0.222263431977638	<-
0	0.0984114759835819	->
0	0.0264282347802094	->
1	0.0240201807593283	<-
1	0.107344164443364	<-
1	0.0596367330097411	<-
0	0.144743588399012	<-
0	0.0369786000418368	<-
0	0.0510050216793521	<-
0	0.0250602608453103	<-
1	0.500415695994929	<-
0	0.014980696309578	->
1	0.18446080522837	->
1	0.03849574965533	->
0	0.0530148335019844	->
0	0.0570559767381869	<-
1	0.0145348395433293	<-
0	0.0148383444478701	<-
0	0.0517226247877653	->
1	0.0803367118126284	->
1	0.108090964602436	<-
1	0.209643332711889	<-
0	0.0292436173737447	<-
0	0.0569926939176639	<-
0	0.0293797953135939	<-
0	0.00607603186483607	->
0	0.0538035583061236	<-
1	0.0672441627646911	->
0	0.0299465474794927	<-
1	0.00875040874883348	->
0	0.0934492054885856	->
1	0.121340513336001	<-
0	0.0253053365159019	<-
1	0.0260055559848074	<-
1	0.0168928131326744	->
0	0.16847299024927	<-
0	0.0969466805815673	<-
0	0.134743036173262	<-
1	0.103346248963544	->
0	0.0339070514470519	<-
1	0.0309097599924866	<-
1	0.101653059260838	->
0	0.0724192244458886	<-
0	0.0605842875756242	<-
1	0.243941708094331	->
0	0.05236105916601	<-
0	0.0411060204938873	->
