Correct	Eps	Cds
1	0.000237	->
1	7.1e-05	->
0	3e-05	<-
0	0	--
0	0.000516	<-
0	0.001542	<-
0	2.8e-05	<-
0	0.00148	<-
1	0.00017	->
0	0.001046	<-
1	0.001202	->
1	0.001566	->
1	5.2e-05	->
1	9.1e-05	->
1	7.4e-05	->
0	2.2e-05	<-
1	0.000357	->
1	1.3e-05	->
0	0	--
0	0	--
0	9.5e-05	<-
0	0	--
0	0.000179	<-
0	0	--
1	5e-06	->
1	0.00371	->
0	0	--
0	0.000336	<-
0	8e-06	<-
1	0.001954	->
0	0.00093	<-
1	0.002601	->
0	0	--
0	0	--
0	0	--
0	0.000126	<-
0	0.000179	<-
0	0	--
1	1.2e-05	->
1	5.4e-05	->
1	5.6e-05	->
1	0.00202	->
1	0.000328	->
0	0	--
0	0	--
1	0.000793	->
0	0	--
0	0	--
0	7e-06	->
0	1.2e-05	->
0	7e-06	->
0	0	--
1	2.3e-05	<-
1	0.000538	<-
1	0.000263	<-
0	7.8e-05	->
0	4.7e-05	->
1	0.000274	<-
0	0	--
1	8.7e-05	->
1	0.000689	->
1	2.9e-05	->
1	0.00156	->
1	0.003021	<-
1	2.4e-05	<-
1	0.001121	->
0	0.000383	<-
1	0.002658	<-
1	2.6e-05	->
1	9e-06	<-
0	0	--
0	9.9e-05	->
0	0.000161	<-
1	1.3e-05	<-
0	0.002519	->
0	8e-06	<-
0	0.00012	<-
0	4.3e-05	<-
0	0.001993	->
0	0	--
1	1e-06	->
1	0.000394	->
1	8.3e-05	->
1	0	--
0	0	--
0	0	--
0	0	--
0	0.000122	<-
1	0.000529	->
0	0.000192	<-
0	0.000386	<-
0	0	--
0	0	--
0	0.000871	->
1	0.000194	->
0	1.6e-05	<-
0	0	--
0	0	--
0	0	--
1	0.000235	<-
