Correct	Eps	Cds
1	-0.0145716676603952	->
0	0.0307131869560788	<-
1	-0.0682907256324339	->
0	0.0223551567084281	<-
1	-0.0900526455109101	->
1	-0.0912311879118488	->
1	-0.082178311573879	->
1	-0.160004927826554	->
1	-0.0722901639727367	->
1	-0.079316394143258	->
1	-0.0957399161169674	->
1	-0.0609345971526669	->
1	-0.0210137994794428	->
1	-0.00123320333630761	->
1	-0.0105384472995688	->
1	-0.0234118420481755	->
1	-0.068327530676055	->
1	-0.0389116337216422	->
1	-0.0010986085307193	->
1	-0.0960186743701049	->
1	-0.00619260995394455	->
1	-0.0133565274680064	->
1	-0.0669594478539149	->
1	-0.0642069885162585	->
1	-0.00790553286020834	->
1	-0.0471628668461156	->
1	-0.0802922804903775	->
1	-0.0138582555359921	->
1	-0.032490849632424	->
1	-0.0111221612010416	->
0	0.000927857896776296	<-
1	-0.0704038873450172	->
1	-0.0722728286901868	->
1	-0.0487865673670382	->
1	-0.0380513630904357	->
1	-0.0448087813352032	->
1	-0.0559724706762871	->
1	-0.0523750363297982	->
1	-0.0162686736150016	->
1	-0.0586276573842427	->
1	-0.0180733803216075	->
1	-0.0531044623292297	->
0	0.00356794328860344	<-
0	6.99660015676118e-05	<-
1	-0.00181674712751012	->
0	0.00669721971749349	<-
0	0	--
1	0.000736297752037762	<-
1	0.00616198389935463	<-
1	0.00881997172164206	<-
1	0.0326376167521302	<-
0	-0.0069252531975228	->
0	-0.00438349759342949	->
1	0.0125549121491142	<-
0	-0.0101206551765031	->
0	-0.00977359863459104	->
0	-0.00120431236883645	->
1	0.0173085057019666	<-
0	-0.00367338758106317	->
1	-0.027212746614951	->
1	-0.0021994514227861	->
0	0.007031361761213	<-
0	0.00290395325211779	<-
1	0.0240308039667358	<-
1	0.0373851016445788	<-
0	0	--
1	-0.0258515097655179	->
1	0.00800080286126414	<-
0	0.0369016678796876	<-
0	-0.0110985130706525	->
1	-0.015550050626654	->
1	0.00239863374757787	<-
1	-0.00963311327366689	->
1	0.00100699619032885	<-
1	0.00528187165682459	<-
1	-0.0118508843433618	->
0	0.00169079074269363	<-
0	0.00073706255781314	<-
0	-0.00149012302373186	->
1	-0.187510879676035	->
0	0.00846752759606295	<-
1	-0.0389015829358296	->
1	-0.0237123447495575	->
0	-0.00611539555017182	->
0	-0.00519058394427174	->
1	-0.00947432899265799	->
1	0.0211109117348685	<-
1	-0.00838570301885899	->
1	-0.0668441563206513	->
1	-0.0926637277065748	->
1	-0.05658986066776	->
0	0.0160590523397039	<-
0	0.00542812180125385	<-
1	0.0661171185646523	<-
1	-0.0107756171503833	->
1	-0.0997430982150287	->
0	0.0279942035166137	<-
1	-0.00518264088671183	->
1	-0.0419985047339274	->
1	0.00536922401333717	<-
